,Candidate Deidentified ID,Work Company Name Deidentified ID,Work History Title,Work History Start Year,Work History End Year,Work History Start Month,Work History End Month
1449,611,1102.0,Data Analyst,2022.0,,9.0,
1450,611,1103.0,Volunteer,2022.0,2022.0,1.0,5.0
1451,611,1104.0,Business Data Analyst,2020.0,2021.0,1.0,7.0
1452,2,1105.0,Data Analyst,2019.0,2021.0,9.0,10.0
1453,2,26.0,Junior Data Analyst,2014.0,2017.0,6.0,8.0
1454,2,1106.0,HR Data Analyst,2021.0,,12.0,
1455,150,1107.0,Data Analyst,2021.0,2023.0,10.0,2.0
1456,150,1108.0,Azure Data Engineer,2023.0,,2.0,
1457,150,528.0,Data Warehouse Developer,2020.0,2021.0,3.0,9.0
1458,495,1109.0,BI and Azure Consultant,2023.0,,6.0,
1459,495,924.0,Jr ETL Developer,2017.0,2019.0,3.0,6.0
1460,495,1042.0,Sr Azure and BI Developer,2022.0,2023.0,5.0,6.0
1461,495,1110.0,BI Programmer,2019.0,2021.0,6.0,7.0
1462,81,1111.0,Jr Engineer,2017.0,2018.0,2.0,11.0
1463,81,1055.0,Sr Azure and MSBI Consultant,2022.0,,10.0,
1464,81,1112.0,Azure and MSBI Engineer,2020.0,2022.0,8.0,9.0
1465,81,497.0,Cloud and BI Engineer,2018.0,2020.0,11.0,8.0
1466,382,97.0,Associate,2016.0,2021.0,3.0,3.0
1467,382,1017.0,Technology Lead,2021.0,,3.0,
1468,549,1113.0,Director Safety & Safety Innovation,2012.0,2017.0,12.0,1.0
1469,549,1114.0,CEO,2016.0,2023.0,11.0,9.0
1470,615,1115.0,Business IT Analyst,2020.0,2023.0,5.0,5.0
1471,615,1116.0,Customer Service Representative,2016.0,2019.0,6.0,1.0
1472,360,1117.0,Customer Care Executive,2004.0,2006.0,5.0,5.0
1473,360,1118.0,Sr Executive- Operations & Analysis,2013.0,2018.0,12.0,12.0
1474,360,1119.0,Retail Store Manager,2008.0,2009.0,5.0,11.0
1475,360,1120.0,Media Trafficking Executive,2011.0,2011.0,1.0,10.0
1476,360,1119.0,Business Intelligence Analyst,2011.0,2013.0,10.0,12.0
1477,360,1121.0,Retail Store Manager,2009.0,2011.0,11.0,1.0
1478,360,1122.0,Business Intelligence Analyst,2021.0,,11.0,
1479,360,1123.0,Business Intelligence Analyst,2018.0,2020.0,12.0,9.0
1480,360,1124.0,Business Intelligence Analyst,2020.0,2021.0,9.0,11.0
1481,42,1125.0,Quality Assurance,2020.0,2022.0,,
1482,42,616.0,Logistics Manager,2018.0,2020.0,,
1483,42,616.0,Logistics Specialist,2017.0,2018.0,,
1484,42,1126.0,Project Manager - IT,2024.0,,,
1485,42,1127.0,Supply Chain Manager,2022.0,2023.0,,
1486,13,1128.0,Business Intelligence Analyst,2005.0,2020.0,2.0,2.0
1487,13,1129.0,Data Science Fellow,2022.0,2022.0,1.0,3.0
1488,13,1130.0,Business Intelligence Analyst,2022.0,,4.0,
1489,13,1131.0,Ambassador,2022.0,2022.0,2.0,2.0
1490,330,1132.0,DATA VISUALIZATION SPECIALIST,2020.0,2021.0,8.0,9.0
1491,330,1133.0,DATA ANALYST,2021.0,,10.0,
1492,165,,,,,,
1493,12,,,,,,
1494,350,1134.0,Key Account Manager,2014.0,2018.0,2.0,3.0
1495,350,1134.0,Marketing Data Analyst,2018.0,2019.0,3.0,4.0
1496,350,1135.0,Customer Insight Analyst,2020.0,,6.0,
1497,350,1136.0,Team Lead,2019.0,2020.0,7.0,5.0
1498,71,1137.0,Data Support Analyst,2019.0,,8.0,
1499,71,1138.0,Sales Operation Analyst,2007.0,2010.0,3.0,9.0
1500,71,1139.0,Graduate Assistant,2011.0,2013.0,3.0,8.0
1501,71,1140.0,English Skills Instructor,2016.0,2017.0,9.0,8.0
1502,71,1141.0,Educator,2023.0,,7.0,
1503,678,1142.0,Transport Analyst,2019.0,2020.0,12.0,8.0
1504,678,1143.0,Data Analyst,2020.0,2023.0,9.0,4.0
1505,678,1144.0,Business Intelligence Analyst,2022.0,2022.0,7.0,12.0
1506,237,,,,,,
1507,129,69.0,Reporting Analyst,2020.0,2022.0,6.0,9.0
1508,129,69.0,Data Analyst,2022.0,,12.0,
1509,401,1008.0,Data Analyst,2022.0,,12.0,
1510,453,1145.0,Lead Business Analyst,2023.0,2023.0,5.0,10.0
1511,163,,,,,,
1512,763,779.0,AI Consulting and Automation Developer,2023.0,2023.0,1.0,8.0
1513,763,1146.0,Intern,2020.0,2020.0,10.0,12.0
1514,763,1147.0,Product Developer,2021.0,2022.0,8.0,8.0
1515,763,1148.0,Intern,2020.0,2020.0,1.0,3.0
1516,88,1149.0,Analytics Engineer,2021.0,2022.0,11.0,10.0
